name,name_kana,lat,lng,region,series,categories,description,key
凱旋門,がいせんもん,48.8737791,2.2950372,フランス,ヨーロッパ21ヵ国完全制覇,海外企画,パリのシャルル・ド・ゴール広場にある門。1997年8月23日にここからレンタカーでヨーロッパ21ヵ国制覇の旅をスタートし、8月30日にここへ帰還してゴールした。 「ヨーロッパ・リベンジ」でも登場する(1999年、北欧を目指す旅のスタート地点として再訪)。「21年目のヨーロッパ21ヵ国完全制覇」でも2018年8月2日にここからスタートした。,凱旋門
コッツウォルズ,,51.7265325,-2.0880929,イギリス,ヨーロッパ21ヵ国完全制覇,海外企画,産業革命以前の景観が残る田園地帯。イギリス滞在中に訪れる予定だったが、高速道路の事故渋滞で到着が日没後の21時30分になってしまい、景観を楽しめないまま宿泊地へ200km引き返すことになった。「21年目のヨーロッパ21ヵ国完全制覇」では2日目にブロードウェイに宿泊した。,コッツウォルズ
イースト・グリンステッド,,51.1285649,-0.0142988,イギリス,ヨーロッパ21ヵ国完全制覇,海外企画,イギリスでの宿泊地。コッツウォルズへ向かう起点・帰着点にもなった街。,イースト・グリンステッド
カレー,,50.9524769,1.8538446,フランス,ヨーロッパ21ヵ国完全制覇,海外企画,ユーロトンネルシャトルでイギリスへ渡る際に利用したフランス側の港町。後日ブルージュへ向かう際、道路標識を見間違えて逆方向のブローニュへ行ってしまう起点にもなった。,カレー
ブルージュ,,51.2085526,3.226772,ベルギー,ヨーロッパ21ヵ国完全制覇,海外企画,「北のヴェネツィア」と呼ばれる水路の美しい街。カレーから向かう予定が道を間違えブローニュへ行ってしまったが、後に立ち寄り通過した。,ブルージュ
アーヘン,,50.776351,6.083862,ドイツ,ヨーロッパ21ヵ国完全制覇,海外企画,カール大帝ゆかりの古都。ブルージュを経て宿泊した街。,アーヘン
ケルン大聖堂,けるんだいせいどう,50.9413035,6.958138,ドイツ,ヨーロッパ21ヵ国完全制覇,海外企画,世界遺産にも登録されているゴシック建築の大聖堂。アーヘンからルクセンブルクへ向かう途中に経由した。,ケルン大聖堂
ルクセンブルク市,,49.6098109,6.1315567,ルクセンブルク,ヨーロッパ21ヵ国完全制覇,海外企画,ルクセンブルクの首都。ケルンからハイデルベルクへ向かう道中に立ち寄った。,ルクセンブルク市
ハイデルベルク城,はいでるべるくじょう,49.4104729,8.7151965,ドイツ,ヨーロッパ21ヵ国完全制覇,海外企画,ネッカー川を見下ろす古城で知られる大学都市ハイデルベルクの宿泊地。,ハイデルベルク城
ネルトリンゲン,,48.8516578,10.4885873,ドイツ,ヨーロッパ21ヵ国完全制覇,海外企画,隕石クレーターの上に築かれた城壁都市。ハイデルベルクからフュッセンへ向かう途中に経由した。,ネルトリンゲン
フュッセン,,47.5675998,10.6993217,ドイツ,ヨーロッパ21ヵ国完全制覇,海外企画,ノイシュヴァンシュタイン城の玄関口として知られるバイエルン州南端の街。ここからオーストリアのチロル地方を経てリヒテンシュタインへ向かった。,フュッセン
ファドゥーツ城,ふぁどぅーつじょう,47.1395686,9.5245157,リヒテンシュタイン,ヨーロッパ21ヵ国完全制覇,海外企画,リヒテンシュタイン公爵家の居城で首都ファドゥーツのシンボル。この街に宿泊した。,ファドゥーツ城
マイエンフェルト,,47.0077288,9.5309225,スイス,ヨーロッパ21ヵ国完全制覇,海外企画,『アルプスの少女ハイジ』の舞台とされる村で、ハイジの家が再現されている。旅のテーマ「メルヘン」にちなみ立ち寄った。,マイエンフェルト
フルカ峠,ふるかとうげ,46.5726851,8.415184,スイス,ヨーロッパ21ヵ国完全制覇,海外企画,スイスアルプスを越える山岳道路の峠。買ったカセットテープを車内で聴きながら通過した。,フルカ峠
ザースフェー,,46.107342,7.9247055,スイス,ヨーロッパ21ヵ国完全制覇,海外企画,マッターホルンにほど近い山岳リゾート。この街に宿泊した後、飽きた曲を止められるほど長い運転でイタリアを経てフランスへ向かった。,ザースフェー
サヴォーナ,,44.2334238,8.2525727,イタリア,ヨーロッパ21ヵ国完全制覇,海外企画,リグーリア海に面した港町。ザースフェーからフランスのエクス=アン=プロヴァンスへ向かう途中に経由した。,サヴォーナ
エクス=アン=プロヴァンス,,43.5298424,5.4474738,フランス,ヨーロッパ21ヵ国完全制覇,海外企画,プロヴァンス地方の古都。サヴォーナから南仏を経て宿泊した街。「ヨーロッパ20ヵ国完全制覇 完結編」でも8月25日の宿泊地となった。,エクス=アン=プロヴァンス
ポワティエ,,46.5802596,0.340196,フランス,ヨーロッパ21ヵ国完全制覇,海外企画,フランス中西部の都市。ゴール地点のパリへ向かう最後の宿泊地。,ポワティエ
ダーウィン,,-12.46044,130.8410469,オーストラリア,"オーストラリア大陸縦断3,700キロ",海外企画,1997年1月、レンタカーでのオーストラリア大陸縦断のスタート地点。ここからスチュアート・ハイウェイでアデレードを目指した。,ダーウィン
キャサリン,,-14.4646157,132.2635993,オーストラリア,"オーストラリア大陸縦断3,700キロ",海外企画,縦断1日目の到着地。,キャサリン
デビルズマーブルズ,,-20.5661878,134.291732,オーストラリア,"オーストラリア大陸縦断3,700キロ",海外企画,球状の巨岩群が点在する自然保護区。キャサリンからアリススプリングスへ向かう途中に立ち寄った。,デビルズマーブルズ
アリススプリングス,,-23.6983884,133.8812885,オーストラリア,"オーストラリア大陸縦断3,700キロ",海外企画,当初はここでロケを終了する予定だったが、2日で到着してしまい、そのまま完全縦断を目指すことになった街。,アリススプリングス
エアーズロック,,-25.3455545,131.0369615,オーストラリア,"オーストラリア大陸縦断3,700キロ",海外企画,先住民アナング族の聖地でもある巨大な一枚岩ウルル。ラセター・ハイウェイを往復して訪れた。,エアーズロック
クーバーペディ,,-29.0133682,134.7536164,オーストラリア,"オーストラリア大陸縦断3,700キロ",海外企画,オパール鉱山と地下住居で知られる町。縦断3日目の到着地。,クーバーペディ
ポートオーガスタ,,-32.4908819,137.7639874,オーストラリア,"オーストラリア大陸縦断3,700キロ",海外企画,縦断最終日、ゴールのアデレードへ向かう途中に経由した港町。,ポートオーガスタ
アデレード駅,あでれーどえき,-34.9216452,138.5974169,オーストラリア,"オーストラリア大陸縦断3,700キロ",海外企画,"4日間・3,200kmに及ぶオーストラリア大陸縦断のゴール地点。到着直後、鈴井から大泉へ「ここからサイコロで帰る」という有名なプチドッキリが仕掛けられた。",アデレード駅
金浦国際空港,きんぽこくさいくうこう,37.5590078,126.7942403,韓国,韓国食い道楽サイコロの旅,海外企画,1997年7月、何も知らされていなかった大泉が連れて来られた、韓国でのサイコロの旅の出発地点。,金浦国際空港
蔚山,うるさん,35.5391697,129.3119136,韓国,韓国食い道楽サイコロの旅,海外企画,サイコロで選んだ食事は鯨料理だったが、「全員食えない」を引いてしまい食べられなかった。,蔚山
東萊温泉,とんねおんせん,35.2052,129.0837,韓国,韓国食い道楽サイコロの旅,海外企画,釜山にある温泉街。東莱パジョン(ねぎのチヂミ)を食べる予定だったが、ここでも「全員食えない」を引いてしまった。,東萊温泉
梨花女子大学校,いふぁじょしだいがっこう,37.5643371,126.9468925,韓国,韓国食い道楽サイコロの旅,海外企画,深夜バスでソウルへ戻り訪れた大学周辺エリア。韓国菓子を「全員食える」で食べることができた。,梨花女子大学校
全州,チョンジュ,35.8237631,127.1472805,韓国,韓国食い道楽サイコロの旅,海外企画,特急列車ムグンファ号で向かった街。名物のビビンバを「全員食える」で食べることができた。,全州
麗水,ヨス,34.7546257,127.659859,韓国,韓国食い道楽サイコロの旅,海外企画,チョッカルとタチウオ料理を食べに訪れたが「鈴井と大泉食えない」を引いた街。ノレミ食堂での「チャンスタイム」の舞台。,麗水
済州島,チェジュド,33.3803475,126.5482545,韓国,韓国食い道楽サイコロの旅,海外企画,旅の最後にわざわざ訪れたが「全員食えない」を引いてしまい、そのまま企画が終了した島。,済州島
クアラルンプール,,3.1516964,101.6942371,マレーシア,マレーシアジャングル探検,海外企画,1998年3月、マレーシアでの野生動物観察企画の玄関口。スルタン・アブドゥル・アジス・シャー国際空港からホテル イスタナへ入った。「ジャングル・リベンジ」では「偶然」を装って同じホテルに宿泊し、ここで旅の本当の目的地が大泉に告げられた。,クアラルンプール
タマンネガラ国立公園,,4.3822684,102.4017098,マレーシア,マレーシアジャングル探検,海外企画,クアラ・タハンにあるジャングルの国立公園。動物観察小屋「ブンブン・ブラウ」に宿泊し、深夜に光る目の動物(正体はシカ)に大慌てする一幕もあった。「ジャングル・リベンジ」では前回泊まれなかった人気の観察小屋「ブンブン・クンバン」に宿泊し、建て替えられた「ブンブン・ブラウ」も6年ぶりに再訪した。,タマンネガラ国立公園
グア・テリンガ,がうてりんが,4.3745402,102.3875009,マレーシア,マレーシアジャングル探検,海外企画,コウモリが群生し蛇も出る狭い洞窟。最終日に探検し、罵り合いの末どうにか脱出した。,グア・テリンガ
ヴィクトリア・ピーク,,22.2760386,114.1454573,香港,香港大観光旅行,海外企画,1998年8月、香港観光協会とのタイアップ企画で訪れた100万ドルの夜景で知られる山頂展望台。ピークトラムで登り、大泉が柳生博のモノマネで実況を始めた。,ヴィクトリア・ピーク
スターフェリー,,22.2935413,114.167987,香港,香港大観光旅行,海外企画,香港島と九龍を結ぶフェリー。尖沙咀側から乗船した。,スターフェリー
九龍公園,,22.3005333,114.1701152,香港,香港大観光旅行,海外企画,3日目の朝に太極拳を行った公園。,九龍公園
雀鳥花園,,22.3258911,114.1738135,香港,香港大観光旅行,海外企画,旺角にある小鳥専門の市場。藤村ディレクターの趣味で訪れた。,雀鳥花園
花墟道,,22.3251055,114.1713237,香港,香港大観光旅行,海外企画,旺角の花屋街。,花墟道
通菜街,,22.3170507,114.1710372,香港,香港大観光旅行,海外企画,金魚屋街・女人街として知られる通り。大泉と鈴井はそれぞれ趣味のTシャツを購入した。,通菜街
アンカレッジ,,61.2163129,-149.894852,アメリカ合衆国,北極圏突入 〜アラスカ半島620マイル〜,海外企画,1998年9月、オーロラを見る旅の出発地点であるアラスカ州最大の都市。ここでキャンピングカーをレンタルした。,アンカレッジ
ウィッティア,,60.7730556,-148.6838889,アメリカ合衆国,北極圏突入 〜アラスカ半島620マイル〜,海外企画,アラスカ鉄道でアンカレッジから向かった街。氷河クルーズに参加した。,ウィッティア
タルキートナ,,62.267644,-150.0295288,アメリカ合衆国,北極圏突入 〜アラスカ半島620マイル〜,海外企画,デナリ国立公園へ向かう途中に経由した町。,タルキートナ
デナリ国立公園,,63.730206,-148.8920823,アメリカ合衆国,北極圏突入 〜アラスカ半島620マイル〜,海外企画,北米最高峰デナリ(マッキンリー)を擁する国立公園。ワイルドライフツアーに参加した。,デナリ国立公園
フェアバンクス,,64.837845,-147.716675,アメリカ合衆国,北極圏突入 〜アラスカ半島620マイル〜,海外企画,アラスカ内陸部の都市。ここから北極圏のコールドフットを目指した。,フェアバンクス
コールドフット,,67.234505,-150.0594836,アメリカ合衆国,北極圏突入 〜アラスカ半島620マイル〜,海外企画,北極圏内にある、当時人口12人だったとされる町。オーロラ観測の最終目的地だったが、天候に恵まれず結局見ることはできなかった。,コールドフット
ゴールデンゲートブリッジ,,37.8202408,-122.47857,アメリカ合衆国,アメリカ合衆国横断,海外企画,1999年2月、サンフランシスコ観光で訪れた名所。この時点で大泉には後のワシントンD.C.までの大陸横断は知らされていなかった。,ゴールデンゲートブリッジ
ラスベガス,,36.1674263,-115.1484131,アメリカ合衆国,アメリカ合衆国横断,海外企画,1人50ドルの予算でカジノに挑戦する「30分1本勝負」が行われた街。鈴井と大泉は全額をすってしまった。,ラスベガス
フラッグスタッフ,,35.1987522,-111.651822,アメリカ合衆国,アメリカ合衆国横断,海外企画,ラスベガスから向かった宿泊地。,フラッグスタッフ
サンタフェ,,35.6876096,-105.938456,アメリカ合衆国,アメリカ合衆国横断,海外企画,宿泊先のホテルのレストランで、大泉が体調不良から廊下で倒れてしまった街。,サンタフェ
ホットスプリングス,,34.5038393,-93.0552437,アメリカ合衆国,アメリカ合衆国横断,海外企画,アーカンソー州の温泉町。スケジュールが押している中、藤村ディレクターの誘いで急遽立ち寄った。,ホットスプリングス
マンモスケーブ国立公園,,37.1841693,-86.122991,アメリカ合衆国,アメリカ合衆国横断,海外企画,世界最長の洞窟システムで知られる国立公園。バッファローからマリオンへ向かう道中に経由した。,マンモスケーブ国立公園
ワシントンD.C.,,38.8950982,-77.0363849,アメリカ合衆国,アメリカ合衆国横断,海外企画,サンフランシスコから始まったアメリカ大陸横断のゴール地点。ゴール直前には国防総省(ペンタゴン)の字幕が表示された。,ワシントンD.C.
