name,name_kana,region,lat,lng,rank,category,description
甘泉園公園,,東京都,35.712431,139.715418,1,第1シリーズ,【#1 早稲田】早稲田周辺の高台にある庭園で、周辺の地形の高低差を確認する立ち寄り先だったと思われる
早稲田大学大隈記念講堂,,東京都,35.7089405,139.7216228,1,第1シリーズ,【#1 早稲田】早稲田大学のシンボル的建物で、早稲田の街の歴史を語る場面で訪れたと推定される
上野恩賜公園,,東京都,35.7108599,139.7735687,2,第1シリーズ,【#2 上野】上野の高台(上野台地)の地形を体感する散策の中心地点だったと思われる
不忍池弁天堂,,東京都,35.7121373,139.771145,2,第1シリーズ,【#2 上野】不忍池が谷地・かつての入江であったことを示す立ち寄り先だったと思われる
上野東照宮,,東京都,35.7153071,139.7714063,2,第1シリーズ,【#2 上野】上野台地上に位置する社殿として、地形と歴史を結びつける場面で訪れたと推定される
二子玉川公園,,東京都,35.609256,139.632679,3,第1シリーズ,【#3 二子玉川】多摩川に面した高台から地形を見渡す立ち寄り先だったと思われる
兵庫島公園,,東京都,35.6121495,139.6230377,3,第1シリーズ,【#3 二子玉川】多摩川と野川の合流点にあたり、川の氾濫・中州の成り立ちを語る場面で訪れたと推定される
玉川高島屋S・C,,東京都,35.6139217,139.6266162,3,第1シリーズ,【#3 二子玉川】二子玉川の街の発展を語る際の立ち寄り先だったと思われる
京橋の親柱,,東京都,35.6749626,139.7687121,4,第1シリーズ,【#4 銀座】かつて京橋川に架かっていた橋の名残として、埋め立てられた川の跡を語る場面で訪れたと推定される
数寄屋橋公園,,東京都,35.6725258,139.7621455,4,第1シリーズ,【#4 銀座】かつての数寄屋橋・外堀の痕跡を語る立ち寄り先だったと思われる
慶應義塾大学三田キャンパス,,東京都,35.6491533,139.743073,5,第1シリーズ,【#5 三田・麻布】三田の高台に位置し、台地の地形を体感する立ち寄り先だったと思われる
済海寺,,東京都,35.6436489,139.7414248,5,第1シリーズ,【#5 三田・麻布】幕末の各国公使館が置かれた寺院として、開港期の歴史を語る場面で訪れたと推定される
芝公園,,東京都,35.6582563,139.7466728,5,第1シリーズ,【#5 三田・麻布】台地と低地の境目にあたる地形を確認する立ち寄り先だったと思われる
万世橋,,東京都,35.6968535,139.771159,6,第1シリーズ,【#6 秋葉原】神田川に架かる橋として、秋葉原周辺の水運の歴史を語る場面で訪れたと推定される
